class,curbweight,enginesize,horsepower,peakrpm,citympg,highwaympg
3,2548,130,111,5000,21,27
3,2548,130,111,5000,21,27
1,2823,152,154,5000,19,26
2,2337,109,102,5500,24,30
2,2824,136,115,5500,18,22
2,2507,136,110,5500,19,25
1,2844,136,110,5500,19,25
1,2954,136,110,5500,19,25
1,3086,131,140,5500,17,20
0,3053,131,160,5500,16,22
2,2395,108,101,5800,23,29
0,2395,108,101,5800,23,29
0,2710,164,121,4250,21,28
0,2765,164,121,4250,21,28
1,3055,164,121,4250,20,25
0,3230,209,182,5400,16,22
0,3380,209,182,5400,16,22
0,3505,209,182,5400,15,20
2,1488,61,48,5100,47,53
1,1874,90,70,5400,38,43
0,1909,90,70,5400,38,43
1,1876,90,68,5500,37,41
1,1876,90,68,5500,31,38
1,2128,98,102,5500,24,30
1,1967,90,68,5500,31,38
1,1989,90,68,5500,31,38
1,1989,90,68,5500,31,38
1,2191,98,102,5500,24,30
-1,2535,122,88,5000,24,30
3,2811,156,145,5000,19,24
2,1713,92,58,4800,49,54
2,1819,92,76,6000,31,38
1,1837,79,60,5500,38,42
1,1940,92,76,6000,30,34
1,1956,92,76,6000,30,34
0,2010,92,76,6000,30,34
0,2024,92,76,6000,30,34
0,2236,110,86,5800,27,33
0,2289,110,86,5800,27,33
0,2304,110,86,5800,27,33
0,2372,110,86,5800,27,33
0,2465,110,101,5800,24,28
1,2293,110,100,5500,25,31
0,2337,111,78,4800,24,29
1,1874,90,70,5400,38,43
0,1909,90,70,5400,38,43
2,2734,119,90,5000,24,29
0,4066,258,176,4750,15,19
0,4066,258,176,4750,15,19
0,3950,326,262,5000,13,17
1,1890,91,68,5000,30,31
1,1900,91,68,5000,31,38
1,1905,91,68,5000,31,38
1,1945,91,68,5000,31,38
1,1950,91,68,5000,31,38
3,2380,70,101,6000,17,23
3,2380,70,101,6000,17,23
3,2385,70,101,6000,17,23
3,2500,80,135,6000,16,23
1,2385,122,84,4800,26,32
0,2410,122,84,4800,26,32
1,2385,122,84,4800,26,32
0,2410,122,84,4800,26,32
0,2443,122,64,4650,36,42
0,2425,122,84,4800,26,32
0,2670,140,120,5000,19,27
0,2700,134,72,4200,31,39
-1,3515,183,123,4350,22,25
-1,3750,183,123,4350,22,25
0,3495,183,123,4350,22,25
-1,3770,183,123,4350,22,25
-1,3740,234,155,4750,16,18
3,3685,234,155,4750,16,18
0,3900,308,184,4500,14,16
1,3715,304,184,4500,14,16
1,2910,140,175,5000,19,24
2,1918,92,68,5500,37,41
2,1944,92,68,5500,31,38
2,2004,92,68,5500,31,38
1,2145,98,102,5500,24,30
3,2370,110,116,5500,23,30
3,2328,122,88,5000,25,32
3,2833,156,145,5000,19,24
3,2921,156,145,5000,19,24
3,2926,156,145,5000,19,24
1,2365,122,88,5000,25,32
1,2405,122,88,5000,25,32
1,2403,110,116,5500,23,30
