class,Top10perc,Top25perc,PhD,Terminal,perc.alumni,Grad.Rate
1,23,52,70,78,12,60
1,16,29,29,30,16,56
1,22,50,53,66,30,54
1,60,89,92,97,37,59
1,16,44,76,72,2,15
1,38,62,67,73,11,55
1,17,45,90,93,26,63
1,37,68,89,100,37,73
1,30,63,79,84,23,80
1,21,44,40,41,15,52
1,37,75,82,88,31,73
1,44,77,73,91,41,76
1,38,64,60,84,21,74
1,44,73,79,87,32,68
1,23,46,36,69,26,55
1,9,22,78,84,19,69
1,83,96,93,98,63,100
1,19,40,48,61,14,59
1,14,23,62,66,18,46
0,24,54,60,62,5,34
1,25,44,69,82,35,48
0,20,63,83,96,14,70
1,20,51,55,65,25,65
0,24,49,88,93,5,48
1,46,74,79,88,24,54
0,12,52,57,60,5,48
1,23,59,93,93,30,88
0,25,57,85,91,18,69
1,12,30,65,65,31,58
1,36,69,78,83,40,71
1,21,58,66,70,30,69
1,42,74,81,95,33,71
1,16,40,59,67,11,48
1,21,47,58,68,21,65
1,30,61,68,74,20,85
1,15,36,57,77,35,71
1,50,85,98,98,30,79
1,53,95,83,93,33,91
1,18,45,76,78,11,72
1,34,66,71,76,38,72
1,23,56,78,89,30,73
1,39,63,74,82,31,84
1,17,36,78,85,10,52
1,28,67,61,61,19,49
1,26,54,87,95,26,69
0,12,36,57,62,16,46
1,14,24,64,84,18,58
1,25,53,35,59,33,55
1,20,60,87,87,20,82
1,37,68,80,80,17,63
1,16,41,62,68,29,48
1,19,42,61,80,32,56
1,11,28,63,63,13,35
1,12,30,48,48,9,58
1,67,88,74,79,34,72
1,25,55,76,76,53,51
0,15,55,66,68,19,75
1,15,30,61,67,3,53
1,20,50,76,71,19,58
1,45,80,80,81,16,72
1,76,100,93,96,52,96
0,14,45,81,89,14,67
1,5,36,57,80,21,46
1,30,58,75,81,21,85
1,48,77,90,97,24,84
1,12,41,71,80,12,49
1,10,26,62,62,10,18
1,16,44,39,66,26,58
1,22,53,68,73,24,82
1,48,82,76,76,40,33
1,87,95,99,100,39,97
1,71,95,100,100,49,89
1,49,85,95,97,36,93
1,32,70,62,69,10,78
1,40,68,77,81,29,83
1,8,28,59,76,36,71
1,17,42,87,96,25,55
1,23,52,72,74,17,60
0,47,73,72,81,13,59
0,5,60,90,90,8,61
1,29,56,75,81,41,81
1,20,54,77,77,34,63
1,25,55,62,66,13,49
1,16,34,90,92,26,64
1,34,66,64,69,27,83
1,10,52,10,50,24,52
1,75,93,81,93,60,91
1,60,89,86,93,31,74
1,19,55,74,81,25,79
1,27,62,61,62,16,67
1,20,43,74,89,22,62
1,71,93,95,95,29,67
0,9,22,89,91,8,79
1,13,34,75,82,27,55
1,24,49,90,96,18,75
1,9,35,22,47,20,118
1,25,58,58,83,39,74
1,25,55,50,52,34,64
1,12,46,41,85,20,24
1,35,55,86,92,25,66
1,1,20,8,58,4,47
1,31,65,76,90,29,67
0,6,24,69,73,4,49
0,10,35,69,80,4,50
0,8,65,67,89,0,51
1,8,29,62,62,18,58
1,55,82,95,99,60,74
1,23,48,72,80,6,47
1,28,56,95,98,37,52
1,25,64,71,71,29,73
1,33,71,92,92,17,58
1,16,42,81,81,24,63
0,3,37,80,82,16,48
1,21,47,69,69,31,21
1,71,93,99,99,52,87
1,30,61,94,95,35,79
1,14,45,67,71,27,74
1,35,68,95,95,32,77
0,37,65,82,88,17,73
0,15,30,67,67,9,46
1,29,60,73,86,32,67
1,15,47,64,77,39,75
1,58,84,83,94,41,91
1,46,75,95,98,45,93
1,29,58,56,62,23,96
0,22,55,73,78,18,51
1,14,41,46,46,35,100
1,23,46,75,77,35,83
1,11,42,77,80,7,43
1,35,61,64,64,32,75
1,29,62,70,88,26,72
1,23,51,63,87,32,77
1,34,53,68,70,23,78
1,23,57,66,71,28,64
1,16,42,40,74,7,80
1,12,21,53,53,19,76
1,29,60,54,76,33,72
1,70,95,92,96,55,95
0,68,88,89,92,31,93
1,29,65,84,96,43,69
1,56,87,85,97,51,84
0,29,65,87,89,10,59
1,10,28,87,87,2,37
1,21,67,61,77,34,76
1,78,96,97,98,21,99
1,13,29,69,75,18,45
1,16,34,67,76,9,42
1,30,75,55,60,13,55
1,22,56,56,64,13,75
1,42,93,86,95,40,91
1,35,70,63,76,31,75
1,33,68,71,76,31,64
1,30,60,85,90,32,85
1,24,55,51,52,28,51
1,26,47,42,44,4,63
1,18,47,68,68,42,46
1,10,36,46,51,25,54
1,12,30,61,61,10,72
1,87,99,95,99,49,98
1,77,96,95,97,46,94
1,10,26,58,60,19,56
0,15,48,49,63,16,58
1,32,60,88,97,45,81
1,50,80,78,94,31,82
1,31,68,87,94,39,87
0,10,30,50,64,28,46
1,41,88,52,52,12,61
1,20,47,67,72,42,60
1,4,19,43,43,5,54
1,25,50,61,60,17,87
1,9,33,77,78,7,42
1,34,65,88,93,24,77
1,56,84,93,97,28,83
1,33,66,82,92,35,67
1,90,98,95,96,44,97
1,35,63,90,94,46,78
0,14,44,74,78,18,58
0,15,36,73,75,9,42
1,10,36,62,62,7,38
1,16,42,60,60,22,54
0,14,50,71,76,14,50
0,12,38,62,71,5,76
1,19,48,46,65,29,82
1,17,40,58,58,17,70
1,33,65,82,89,26,59
1,36,70,65,68,25,81
1,27,50,77,98,21,64
1,23,46,71,71,21,86
1,11,39,70,74,34,63
1,14,40,37,43,4,44
1,30,60,79,88,51,82
1,76,97,97,98,28,96
0,43,79,72,75,4,50
1,47,74,76,80,47,67
1,36,56,62,87,31,53
0,14,50,75,78,14,68
1,30,66,86,90,30,94
0,1,16,75,75,10,24
1,12,36,53,58,9,22
