class,Recovered,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,No. of countries
17,28,0,0,3.06,5.05,6
18,30,1,2,2.75,4.59,8
26,36,8,6,2.76,3.83,9
42,39,16,3,2.93,2.72,11
56,52,14,13,2.64,2.46,13
82,61,26,9,2.8,2.08,16
131,107,49,46,2.35,1.92,16
133,125,2,18,2.16,2.03,18
171,141,38,16,2.08,1.71,20
213,219,42,78,2.15,2.21,24
259,281,46,62,2.15,2.33,25
362,459,103,178,2.16,2.73,25
426,604,64,145,2.14,3.04,25
492,821,66,217,2.06,3.44,26
564,1071,72,250,2.04,3.87,26
634,1418,70,347,2.06,4.6,26
719,1903,85,485,2.09,5.54,26
806,2470,87,567,2.17,6.66,26
906,3057,100,587,2.26,7.62,26
1013,3714,107,657,2.38,8.71,26
1113,4417,100,703,2.49,9.89,26
1118,4849,5,432,2.4,10.41,26
1371,5930,253,1081,2.28,9.85,26
1523,7613,152,1683,2.28,11.42,27
1666,8902,143,1289,2.42,12.95,27
1770,10319,104,1417,2.5,14.56,27
1868,11951,98,1632,2.57,16.41,27
2008,13693,140,1742,2.69,18.35,27
2123,15394,115,1701,2.83,20.52,28
2246,17369,123,1975,2.97,22.98,28
2250,17966,4,597,2.95,23.58,30
2457,21849,207,3883,3.15,28.02,30
2467,22304,10,455,3.15,28.49,31
2627,24047,160,1743,3.33,30.5,36
2707,26652,80,2605,3.4,33.44,41
2767,29077,60,2425,3.43,36.04,47
2810,31919,43,2842,3.43,38.91,51
2867,35306,57,3387,3.44,42.33,57
2936,38314,69,3008,3.44,44.91,61
2990,41208,54,2894,3.41,46.99,66
3079,44085,89,2877,3.43,49.17,73
3154,46681,75,2596,3.42,50.61,76
3249,49619,95,2938,3.44,52.48,80
3342,52237,93,2618,3.43,53.67,84
3454,54270,112,2033,3.41,53.59,93
3553,56760,99,2490,3.37,53.9,94
3797,59092,244,2332,3.48,54.08,99
3981,60891,184,1799,3.52,53.81,102
4260,62802,279,1911,3.6,53.14,105
4604,65113,344,2311,3.66,51.74,111
4909,66434,305,1321,3.73,50.48,113
5406,68359,497,1925,3.7,46.82,120
5823,70729,417,2370,3.71,45.02,133
6464,74139,641,3410,3.84,44.06,137
7144,76192,680,2053,3.91,41.65,143
7948,78944,804,2752,4,39.72,146
8845,81427,897,2483,4.05,37.29,150
9951,83064,1106,1637,4.04,33.73,154
11429,85509,1478,2445,4.14,31,161
13134,89775,1705,4266,4.26,29.13,163
